date,price,bid,ask,bidSize,askSize
2022-06-18 11:20:00.043838978,1007.3,1007.2,1007.3,11.05,55.413
2022-06-18 11:20:00.061846256,1007.3,1007.2,1007.3,11.05,42.564
2022-06-18 11:20:00.121831894,1007.3,1007.2,1007.3,10.997,61.648
2022-06-18 11:20:00.183531284,1007.2,1007.1,1007.3,5.169,61.648
2022-06-18 11:20:00.217657089,1007.2,1007.2,1007.3,0.048,56.548
2022-06-18 11:20:00.276362896,1007.2,1007.1,1007.2,5.169,15.191
2022-06-18 11:20:00.327292681,1007.2,1007.1,1007.2,5.169,70.744
2022-06-18 11:20:00.350747585,1007.2,1007.1,1007.2,8.815,74.738
2022-06-18 11:20:00.372775793,1007.2,1007.1,1007.2,8.815,78.732
2022-06-18 11:20:00.396535397,1007.2,1007.1,1007.2,8.815,74.738
2022-06-18 11:20:00.422562838,1007.2,1007.1,1007.2,8.815,85.145
2022-06-18 11:20:00.498459816,1007.2,1007.1,1007.2,8.815,77.157
2022-06-18 11:20:00.521994352,1007.2,1007.1,1007.2,8.815,62.942
2022-06-18 11:20:00.548066854,1007.2,1007.1,1007.2,17.93,62.942
2022-06-18 11:20:00.630767584,1007.2,1007.1,1007.2,17.93,68.109
2022-06-18 11:20:00.680306673,1007.2,1007.1,1007.2,17.93,62.942
2022-06-18 11:20:00.727612495,1007.2,1007.1,1007.2,24.93,62.942
2022-06-18 11:20:00.879592896,1007.2,1007.1,1007.2,17.93,62.942
2022-06-18 11:20:00.952717304,1007.2,1007.1,1007.2,16.284,62.942
2022-06-18 11:20:01.077682018,1007.2,1007.1,1007.2,17.93,62.942
2022-06-18 11:20:01.406360388,1007.2,1007.1,1007.2,17.93,42.507
2022-06-18 11:20:01.486242294,1007.2,1007.1,1007.2,17.93,43.007
2022-06-18 11:20:01.536484718,1007.2,1007.1,1007.2,17.93,55.422
2022-06-18 11:20:01.587770700,1007.2,1007.1,1007.2,15.93,55.422
2022-06-18 11:20:01.882112026,1007.2,1007.1,1007.2,16.012,55.422
2022-06-18 11:20:02.056624174,1007.2,1007.1,1007.2,16.012,43.007
2022-06-18 11:20:02.182013988,1007.2,1007.1,1007.2,16.012,55.476
2022-06-18 11:20:02.508744,1007.2,1007.1,1007.2,16.012,55.976
2022-06-18 11:20:02.738406897,1007.2,1007.1,1007.2,14.366,55.976
2022-06-18 11:20:02.766061068,1007.2,1007.1,1007.2,5.251,55.976
2022-06-18 11:20:02.797066927,1007.2,1007.1,1007.2,0.088,65.045
2022-06-18 11:20:02.840663433,1007.1,1007.0,1007.2,5.489,97.693
2022-06-18 11:20:02.905317545,1007.1,1007.0,1007.1,5.19,41.813
2022-06-18 11:20:02.939699173,1007.1,1007.0,1007.1,5.19,77.142
2022-06-18 11:20:02.959312916,1007.1,1007.0,1007.1,5.19,57.95
2022-06-18 11:20:02.982168913,1007.1,1007.0,1007.1,5.19,77.472
2022-06-18 11:20:03.021893740,1007.1,1007.0,1007.1,7.19,68.357
